Name;Muscle Group;Detailed Muscle Group;Other Muscle Groups;Type;Mechanics;Equipment;;
Ab Roll;Abs;null;Shoulders;Strength;Isolation;Body Only;Beginner;"Steps : 1.) Start by sitting on the floor with your knees bent, feet planted firmly on the floor and your hands at your sides behind your knees. 2.) Once in position rock backwards off of your pelvis towards the floor, keep your hands underneath your knees forming a ""C"" shape with your spine. 3.) Make sure that you keep your feet planted firmly on the floor throughout the entire motion. 4.) Squeeze with your abdominals and hold for a few seconds, then return back to the starting position. 5.) Repeat for as many reps and sets as desired."
Abdominal Hip Roll;Abs;null;null;Strength;Isolation;Body Only;Beginner;"Steps : 1.) Start by laying down on your back flat on the floor keeping your arms straight out and wide to your sides and feet extended out in front of you in a ""T"" position. 2.) Slowly raise your knees up until they are at thigh level and create a 90-degree angle to the floor, then begin by twist at your hips and lowering your knees towards the floor in a pendulum motion. 3.) Don't pause when you reach the bottom, instantly return back to the starting position and repeat in the opposite direction. 4.) Repeat for as many reps and sets as desired."
Abdominal Pendulum;Abs;null;null;Strength;Isolation;Body Only;Beginner;"Steps : 1.) Begin by laying with your back flat on the floor, your legs together extended out in front of you and your hands placed out to your sides so that you are in a ""T"" position. 2.) Slowly lift your legs up and over your body so that you are creating a right angle to the floor, then twisting only at your hips, lower your feet slowly to the floor to your right without losing any control. 3.) As soon as you feel a stretch in your obliques, return to the starting position and repeat on the opposite side. 4.) Repeat for as many reps and sets as desired."
Aerobics;Cardio;null;null;Cardio;Isolation;Others;Beginner;Aerobic Exercise focuses upon cardiovascular fitness, muscle strength and endurance by performing aerobic workouts.
Air Bike;Abs;Obliques;null;Strength;Compound;Body Only;Beginner;Steps : 1.) Start off lying flat as if you were going to perform a sit up putting your hands behind your your head and lifting your shoulders into a crunch position. 2.) Bring your knees up so that they are perpendicular with the floor and your lower legs are parallel with the ground as this will be your starting position. 3.) Slowly go through a cycle pedal motion kicking forward with your right leg and bringing in the knee of the left leg. 4.) Next bring your right elbow close to your left knee by crunching to the side. 5.) Return back to the starting position as you breathe in then crunch to the opposite side as you cycle your legs and bring your left elbow close to your right knee. 6.) Repeat with each side for as many reps and sets as desired. Tips : 1.) Reduce the speed of the exercise for more intensity and better results.
All Fours Quad Stretch;Upper Legs;Hamstrings;null;Stretching;N/A;Body Only;Intermediate;Steps : 1.) To begin this exercise: start off in a kneeling pushing position and lift your right leg off of the floor and hold onto it with your right hand. 2.) With your hand hold onto your ankle and stretch out your upper legs holding on for 15 to 30 seconds, then alternate. 3.) Repeat this exercise for as many repetitions as needed
Alternating Arm Cobra;Abs;null;Back;Strength;Isolation;Body Only;Beginner;Steps : 1.) Start off by laying face down on the floor in a prone position with your arms at your sides. 2.) Squeeze your glutes and lift your chest off of the floor with your arms alternately touching the floor from side to side while keeping your arms straight. 3.) Repeat for as many reps and sets desired.
Alternating Diagonal Leg Bound;Upper Legs;Hamstrings;Lower Legs;Strength;Compound;Body Only;Beginner;Steps : 1.) Start in a stance at an end of a room with one foot in front of the other. 2.) Push off with your front leg with as much force as possible, driving your opposite knee up and forward, landing with your front foot. 3.) Then repeat with the opposite leg and push with as much force as possible cover as much distance as you can. 4.) Repeat for as many reps and sets as you desire.
Alternating Floor Leg Raise;Abs;null;null;Strength;Isolation;Body Only;Beginner;Steps : 1.) Start by laying with your back flat on the floor, arms at your side and feet extended out straight in front of you. 2.) Slowly lift one of your legs up off of the floor, keeping the other one still and on the floor until your elevated foot is at a 90-degree angle with the ground. 3.) Feel a stretch in your abdominals then return the leg back to the starting position and repeat with the opposite leg. 4.) Repeat for as many reps and sets as desired.
Alternating Heel Touch;Abs;Obliques;null;Strength;Isolation;Body Only;Beginner;Steps : 1.) Start off lying on the floor with your knees bent, your feet on the floor at around 18 to 24 inches apart, and your arms extended by your side. 2.) Once in the starting position, crunch forward over your torso to the right side and touche your right heel. 3.) Hold this position for a few seconds, squeezing your abs and then return back to the starting position. 4.) Switch to the other side, crunching over your torso on the left side and touching your left heel, squeezing your abs and holding the contraction for a count. 5.) Return back to the starting position and alternate sides for the desired about of reps and sets.
Alternating Leg Bridge;Abs;null;Glutes , Upper Legs;Strength;Compound;Body Only;Intermediate;Steps : 1.) Start by laying on your back with arms at your sides , keeping one knee bent with your heel on the ground and the other leg pointed straight out in front of you in a 45-degree angle. 2.) Slowly lift your hips off of the ground and squeeze your glutes. 3.) Form a straight line with your body through your shoulders and knees. 4.) Hold onto this position for a few seconds then return back to the starting position. 5.) Alternate legs and repeat.
Alternating Reach and Catch;Abs;null;null;Strength;Isolation;Body Only;Beginner;Steps : 1.) Begin by laying with your back flat on the floor, keeping your legs bent and feet planted on the floor to stabilize your body. 2.) Then take both of your hands and place them on your right thigh until you reach your knee until you feel a stretch in your abs, then return back to the starting position. 3.) Repeat for as many reps and sets as desired.
Alternating Reverse Hyper (Flat Bench);Abs;null;Glutes;Strength;Compound;Bench;Intermediate;Steps : 1.) Start by laying face down in a prone position on a bench with one foot touching the floor and the other leg raised. 2.) Once in position lift one leg up until you feel tension in your abs and glutes, hold for a count then return back to the starting position. 3.) Alternate with the opposite leg and repeat for as many reps and sets as desired.
Ankle Circles;Lower Legs;null;null;Stretching;Isolation;Body Only;Beginner;The ankle circles exercise is the most simple workout for the calves to loosen the joints and strengthen and improve flexibility within the muscle. Steps : 1.) Start by standing on one foot near a chair or wall for support. 2.) Lift your foot off the ground and draw circles clockwise in the air with your toes. 3.) Reverse the direction (counter-clockwise) and switch feet.
Ankle Dorsiflexion;Lower Legs;null;null;Stretching;Compound;Body Only;Beginner;Steps : 1.) Start this stretch by kneeling down on one knee while the opposite foot is planted flat on the floor. 2.) Keep your spine straight and your hips/shoulders aligned. 3.) Take one of your hands and place it upon the knee of the outstretched leg and lunge forward slightly. 4.) Hold for a few seconds, switch legs and repeat.
Arm Circles;Shoulders;null;null;Stretching;Isolation;Body Only;Beginner;"Steps : 1.) Start by standing up straight with your feet shoulder width apart and your arms extended out to your sides so that you create a ""T"" shape and should be parallel to the floor. 2.) Slowly make circles with your arms feeling a stretch in your shoulders as you continue to rotate in a circular motion. 3.) Continue this motion for 10 to 20 seconds then return to the starting position. 4.) Repeat for as many reps and sets as desired."
Assisted Chest Stretch;Chest;null;null;Stretching;Isolation;Body Only;Beginner;Steps : 1.) In this stretch you will need a partner behind you to assist. 2.) Start off by sitting upright on the floor with your partner behind you, placing your hands behind your head and legs extended out in front of you with a slight bend in the knees. 3.) Have your partner hold your elbows, then try and pull your elbows from behind your head for about 15 to 30 seconds then release. 4.) Then afterwards have your partner pull back on your elbows again but easily this time to help stretch out the chest muscles.
Assisted Hyperextension;Back;Traps;Upper Legs , Glutes;Strength;Compound;Body Only;Intermediate;Steps : 1.) To begin this exercise: have a partner grab your legs as your lay down on your stomach on a flat bench until your pelvis has reached the end of the bench. 2.) Keep your body straight and cross your arms across your chest and then start to bend forward as far as you can until you can almost touch the floor. 3.) Return back to the starting position using your torso and inhale on the way up. 4.) Repeat this exercise for as many repetitions as needed.
Back Extension (Prone);Back;Full;null;Stretching;N/A;Body Only;Beginner;Steps : 1.) To begin the exercise: position your stomach flat on the floor with your arms extended down by your side. 2.) With your body flat, extend your lower back and lift your chest up off of the ground. 3.) In this process do not use your arms to push up, use your back to extend your spine up. 4.) Repeat this exercise for as many repetitions as needed.
Back Hyperextension;Back;Lower Back;null;Stretching;Compound;Machine - Strength;Beginner;This back hyper-extension exercise gives strength to the back and core muscles as well as increases flexibility. Steps : 1.) Start by adjusting the hyper-extension machine so that your ankles are tucked under the footpads and thighs are across the top pad as this will be your starting position. 2.) Keeping your arms folded across your chest and your back straight, slowly bend at your waist towards the ground until you feel a stretch in your core and lower back. 3.) Hold for a count and then slowly return back to the starting position. Tips : 1.) Refrain from arching your back during this exercise.
Back Stretch;Back;Lats;null;Stretching;Isolation;Body Only;Beginner;Steps : 1.) Start by standing up straight with your feet shoulder width apart and your hands rested upon your hips. 2.) Slowly twist at your waist so that you feel a stretch in your middle to lower back. 3.) Hold for 15 to 30 seconds, return to the starting position and repeat with the opposite side. 4.) Repeat for as many reps and long as you desire.
Back Stretch;Chest;null;null;Stretching;Isolation;Body Only;Beginner;Steps : 1.) Start off by standing up straight with your arms at your side and feet shoulder width apart. 2.) Then place your hands on your lower back, fingers pointed downward and try to extend your arms back and touch your elbows. 3.) Return back to the starting position and repeat for as many reps as possible.
Band Back Fly;Triceps;Traps;Back;Strength;Isolation;Bands;Beginner;The band back fly exercise will help strengthen your upper back and help improve your posture. Steps : 1.) Start off by placing a resistance band mid-waist high either around a post or an exercise machine. 2.) Stand in front of the machine or post, keeping your feet together, abs tight and knees slightly bent so that you feel a tension in the band. 3.) Slowly and in a controlled manner, bring your arms back until they are parallel with your sides. 4.) Once you reach the final position, hold for a count while squeezing your back muscles, then return back to the starting position. Tips : 1.) Make sure that you are able to use a band that you are able to perform the exercise with.
Band Bench Press;Chest;Full;Triceps , Shoulders;Strength;Compound;Bands , Bench;Beginner;Steps : 1.) To begin this exercise: start off with placing a band under the leg of the bench where your head will be resting. 2.) Following this placement, lie down flat on a flat bench and push your arms forward so that you have the handles in front of you at your shoulder width. 3.) Then bring the handles down as if you are doing a normal barbell bench press. 4.) Right before you are about to touch your chest, squeeze your pectorals and hold the position for a few seconds and return back to the starting position. 5.) Repeat this exercise for as many repetitions as needed.
Band Bicep Curl;Biceps;null;Forearm , Triceps;Strength;Isolation;Bands;Beginner;The speed alternating biceps curl with band exercise uses either an exercise band or bungee for resistance to help strengthen the bicep muscle. Steps : 1.) Start by placing an exercise band under your feet and hold the handles palms forward in your hands. 2.) Stand with your feet shoulder-width apart, knees slightly bent and your abs drawn in. 3.) Curl your arms up and down in an alternating motion, keeping your body straight, and isolating the bicep muscle. 4.) As you become comfortable with the motion, increase your speed. 5.) Repeat for as many reps and sets as desired.
Band Calf Raise;Lower Legs;Calves;null;Strength;Isolation;Bands;Beginner;Steps : 1.) To begin this exercise: start off with taking an exercise and standing on it with equal amount of band on both sides. 2.) Taking the handles of the bands, elevate your arms towards the side of your head so that the bands tighten up. 3.) Then while leaving your hands by your head, stand on your toes and squeeze tightly on your calves. 4.) After holding on for a few seconds, release and go back to the starting position with your hands still by your head. 5.) Repeat this exercise for as many repetitions as needed.
Band Calf Raise;Lower Legs;Calves;null;Strength;Isolation;Bands;Beginner;The band calf raise exercise uses a band to create resistance in the calf muscle Steps : 1.) Start by standing up straight with your toes on an exercise band and raise the handles up to your shoulders. 2.) Raise up on your toes, keeping your hands up by your shoulders, feeling a stretch in your calf muscles. 3.) Pause for a moment and then lower your heel to the floor. 4.) Repeat for as many reps and sets as desired.
Band Cross-Over;Chest;Inner Chest;Biceps , Shoulders;Strength;Compound;Bands;Beginner;This exercise uses unique and variable resistance to target your chest and biceps. Steps : 1.) Take a resistance band and wrap it around a straight pole or the post of an exercise machine. Keeping the band at around chest level, face away from the post and hold the handles in each hand, spreading them out to your sides. 2.) Once you have wrapped the band around the pole, step back until you feel resistance, standing with your feet shoulder-width apart, and keep your knees bent and abs tight. 3.) To perform the exercise, slowly allow your hands to come in towards each other, keeping your arms extended out in front of you, until you feel a stretch in your chest. 4.) Hold this position for a few seconds then return back to the starting position with your hands extended out and handles spread out at your sides. Tips : 1.) By using a straight pole, it provides stability to perform the exercise and less likely to slip thus injuring yourself. 2.) You are able to vary the resistance by either stepping towards or away from where the band is wrapped around.
Band Good Morning;Upper Legs;Hamstrings;Glutes;Strength;Compound;Bands;Beginner;Steps : 1.) To begin this exercise: start off standing on a band, wrapping it around your neck and making sure that it is evenly distributed for stretching in each arm. 2.) Bend at the knees and extend down with your hips then straighten out your legs and come to a vertical position. 3.) Repeat this exercise for as many repetitions as needed
Band Hamstring Stretch;Upper Legs;null;null;Stretching;Isolation;Bands;Beginner;Steps : 1.) Start by laying with your back flat on the ground with one leg extended above you and the other kept straight and flat on the floor. 2.) Take either a belt, rope or exercise band and loop it around the ball of your foot, then pull on the belt to put tension on your calves and hamstrings. 3.) Hold this position for 15 to 30 seconds then return to the start. 4.) Repeat for as many reps and however long you desire.
Band Hip Lift;Glutes;Calves;Lower Legs , Upper Legs;Powerlifting;Compound;Bands;Beginner;Steps : 1.) To begin this exercise: take a band and secure it underneath two dumbbells so that they wont move. 2.) Move your body so that your hips are right under the bands and set up for a basic sit up position with your knees up and feet firm on the floor. 3.) Keep your hands extended behind your head. 4.) Push your shoulders to the floor as you raise your hips and extend the band as high as possible. 5.) Hold onto the position for a few seconds and return to the start. 6.) Repeat this exercise for as many repetitions as needed.
Band Lateral Raise;Shoulders;Full;null;Strength;Isolation;Bands;Beginner;Steps : 1.) To begin this exercise: stand on a band so that it is evenly distributed to be pulled by each arm. 2.) Grab the handles and keep you arms down and rested at your side. 3.) Then using your shoulders, raise the hands above your sides so that they are at shoulder level then lower the handles back down to the starting position. 4.) Repeat this exercise for as many repetitions as needed.
Band Quad Stretch;Upper Legs;null;null;Stretching;Compound;Bands;Intermediate;Steps : 1.) Start by sitting on the ground and looping a band, rope or belt around one foot. 2.) Twist your body over to your stomach and lay flat face down on the floor and flex the knee with the band wrapped around it, keeping the other fully extended behind you. 3.) By pulling on the band, your hip and knee should come up off of the floor creating tension in your quads and hip flexors. 4.) Hold this stretch for 15 to 30 seconds and return to the starting position. 5.) Repeat for as many reps, sets and however long you desire.
Band Row;Back;Delts;null;Strength;Compound;Bands;Beginner;The exercise band row is a compound bilateral exercise that works various aspects of the back and posterior shoulder. Begin by standing tall with your feet hip-width apart, knees soft and core engaged. Using both hands, pull the band handles in towards your outer chest, pause for a 1-2 count. Slowly return to where arms are fully extended and repeat for desired repetitions.
Band Seated Calf Stretch;Lower Legs;null;Back , Upper Legs;Stretching;N/A;Bands;Beginner;Steps : 1.) Start by sitting up straight with your legs extended out in front of you. 2.) Slowly bend one knee back toward you and placing your foot on the floor to stabilize your body. 3.) With the other leg keep it extended and flex your ankle so that the toes are pointed in towards your body. 4.) Either using an exercise band, towel, belt or even your own hand pull your toes towards you until you feel a stretch in your calves and hold this position for 15 to 30 seconds. 5.) Return to the starting position and repeat for as many reps, sets and duration as desired.
Band Shoulder Press;Shoulders;Traps;Triceps;Strength;Compound;Bands;Beginner;Steps : 1.) To begin this exercise: stand on a band so that it is evenly distributed to be pulled by each arm. 2.) Grab the handles and press your arms up so that they are at shoulder level. 3.) Then using your shoulders, raise the hands above your sides so that they are above your head then lower the handles back down to the starting position. 4.) Repeat this exercise for as many repetitions as needed.
Band Shoulder Press (Stability Ball);Shoulders;null;Abs , Back;Strength;Isolation;Bands;Intermediate;Steps : 1.) Begin by sitting on an exercise ball that is placed on top of a stretched band with a grip held in each hand and keeping your feet flat on the floor. 2.) When balanced slowly press the bands upward so that they are elevated over your head and hold this position for a count and return back to the start. 3.) Repeat for as many reps and sets as desired.
Band Sit-Up;Abs;Lower Abs;null;Strength;Isolation;Bench;Intermediate;Steps : 1.) To begin this exercise: take the exercise bands and wrap them around the base of the bench. 2.) Lay down with your back flat on the bench, holding onto the bands. 3.) Then curl up your body, holding the bands, so that your chest is as close to your abdominals as possible. 4.) Squeeze and hold your abs tightly for a few seconds the return back to the starting position. 5.) Repeat this exercise for as many repetitions as needed.
Band Squat;Upper Legs;Hamstrings;Lower Legs , Glutes;Strength;Compound;Bands;Beginner;The band squat exercise is the version of the squat that uses exercise bands to increase resistance and flexibility instead of using weights. Steps : 1.) Start off standing with your feet on the exercise bands with your feet shoulder width apart. 2.) Grab onto the handles of the bands and pull them up to your shoulders in a slow and controlled motion. 3.) With your abs drawn in, squat down until your thighs are parallel with the floor. 4.) Slowly return to the starting position. 5.) Repeat for as many reps and sets as desired.
Band Upright Row;Shoulders;Traps;Shoulders , Triceps;Strength;Compound;Bands;Beginner;The band upright row exercise is a great alternative to the upright row that uses dumbbells or barbells and is great for beginners or individuals just rehabilitating from injury as the bands allow you to control the resistance level. Steps : 1.) Stand on the band so that the handles are level with your upper thigh. 2.) With your back straight and abs drawn in raise your hands upward to your collarbone. 3.) Your elbows and arms should be parallel with the floor. 4.) Slowly lower your arms and return to starting position. 5.) Repeat for as many reps and sets as desired.
Barbell 1/2 Squat;Upper Legs;null;Glutes , Lower Legs;Strength;Compound;Barbell;Beginner;Steps : 1.) Start by setting up a weighted barbell with the amount of weight that you would like to perform. 2.) Position the barbell on your shoulders with an overhand wide shoulder width grip just as in a regular squat position. 3.) Slowly squat down towards the floor about 12 inches, not as deep as a regular squat, and hold for a count. 4.) Return back up to the starting position. 5.) Repeat for as many reps and sets as desired.
Barbell 1/4 Squat;Upper Legs;null;Glutes , Lower Legs;Strength;Compound;Barbell;Beginner;Steps : 1.) Start by setting up a barbell with the amount of weight that you would like to perform for this exercise and placing it on your shoulder blades just as if you were to be performing a squat. 2.) Place your hands in a shoulder width overhand grip and keep your knees slightly bent. 3.) Slowly lower and squat yourself down towards the ground about 6 to 12 inches and hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Barbell Ab Rollout;Abs;Lower Abs;null;Strength;Compound;Barbell;Intermediate;The barbell ab rollout exercise works the abdominals and entire core. Steps : 1.) Start by placing a barbell on the floor at your feet and then bending at your waist, gripping the barbell with a shoulder-width grip, as this will be your starting position. 2.) Using a slow and controlled motion, roll the bar out so that your back is straight, keeping your arms straight throughout the entire motion. 3.) Once at the final position and you feel your abs tightening, hold for a count and squeeze your abdominals, then return back to the starting position. Tips : 1.) Practice raising your hips and butt as high as you can with this exercise.
Barbell Ab Rollout (Kneeling);Abs;Full;Shoulders , Back;Strength;Compound;Barbell;Intermediate;The ab rollout on knees exercise works the abs, lower back and arm muscles and is the proper version of an ab roller workout. Steps : 1.) Start off placing a barbell on the floor in front of you and kneeling in front of the bar, gripping it with a shoulder-width overhand grip. 2.) With a slow controlled motion, roll the bar out so that your back is straight, bend your knees and keep your feet off the floor. 3.) Keep your arms straight throughout the exercise. 4.) Roll back up bring the bar under your shoulders and return to the starting position. 5.) Repeat for as many reps and sets as desired.
Barbell Alternating Front and Back Press;Shoulders;null;Triceps;Strength;Compound;Barbell;Intermediate;Steps : 1.) Start by sitting up straight on the end of a flat bench with your feet shoulder width apart, holding a weighted barbell at waist level with an overhand grip. 2.) Then push the barbell up and above your head so that your arms are fully extended. 3.) Slowly lower the bar towards your upper chest so that its almost touching then immediately push it back up to the starting position. 4.) As soon as you reach the up position, lower the bar back down behind your neck and hold for a count. 5.) Return back to the starting position. 6.) Repeat for as many reps and sets as desired.
Barbell Behind the Back Shrug;Back;Forearms;Shoulders;Strength;Isolation;Barbell;Beginner;Steps : 1.) To begin this exercise: start off by placing a barbell behind your back resting it slightly against your quads with your palms facing backwards. 2.) With your shoulders, raise the barbell so that it reaches your glutes and hold onto the position for a few seconds. 3.) Return back to the starting position. 4.) Repeat this exercise for as many repetitions as needed.
Barbell Bench Press;Chest;Full;Triceps , Shoulders;Strength;Compound;Barbell;Beginner;Bench press is a great exercise for building a powerful chest. The bench press is one of the power exercises, known to be very effective for building body mass. Learning how to do a proper bench press is well worth the effort. Steps : 1.) Lie with your back flat on a bench with your feet firmly on the ground and the bar resting on the bench’s rack. 2.) Slowly lift the bar off the rack and hold it above your chest as this will be the starting position. 3.) Then lower the bar down until it is slightly above your chest, making sure that it doesn't touch or slam against your chest. 4.) Hold this position briefly and make sure you have complete control of the bar, then raise it back up to the starting postion. 3.) Place the bar on the rack and that will complete your set. Tips : 1.) By changing the width of the grip on the bar will change the focus and targeting of the exercise. Using a medium grip is the most common grip on the bar which is slightly wider than shoulder-width that is typically marked on the bar. 2.) Using a spotter while performing this exercise is essential to make sure that the bar doesn't drop onto your chest and a spotter can provide motivation to lift more weight. 3.) The most important thing about the bench press exercise is using a weight that you can manage while maintaining proper form. Many individuals try to lift more weight than they can manage which results in injuring and incorrectly performing the exercise.
Barbell Bench Press (Close Grip);Triceps;Outer Chest;Chest;Strength;Compound;Barbell;Beginner;This exercise of the bench press is a variation where the individual uses a narrow grip to put pressure on the triceps. Steps : 1.) Start off lying with your back flat on a bench with your feet flat on the floor in front of you. 2.) Grab the bar with a narrow grip keeping your hands close enough so that your thumbs are able to touch. 3.) Then lift the barbell off of the rack and hold it above your chest as this will be your starting position. 4.) Lower the barbell towards your chest, stopping so that the bar is close to touching you and hold for a second. 5.) Push the bar back up to the starting position and repeat for as many reps and sets as desired. Tips : 1.) Prevent from bouncing the barbell off of your chest as that is performing the exercise incorrectly and could lead to injury.
Barbell Bench Press (Wide Grip);Chest;Full;Shoulders , Triceps;Strength;Compound;Barbell;Beginner;The barbell wide grip bench press exercise is a great exercise for the pectoral muscles and uses a wider grip to focus upon the outer portion of the chest. Steps : 1.) Lie flat on a bench with your feet flat on the floor. 1.) Begin with your back flat on a bench with your feet flat on the floor in front of you and grabbing onto the barbell with a wider than shoulder-width grip as this will be your starting position. 2.) Lift the bar up and off of the rack, bring it over your chest and slowly lower it until it is just above your body and you feel a stretch in your chest muscles. 3.) Hold for a count then extend your arms upward and raise the bar straight up over your chest. 4.) Repeat for as many reps and sets as desired. Tips : 1.) Keep your abs drawn in and your back flat on the bench throughout this exercise. 2.) Refrain from bouncing the barbell off of your chest as this is improper form and can lead to injury.
Barbell Bench Squat;Upper Legs;Hamstrings;Glutes , Back;Strength;Compound;Barbell;Intermediate;Steps : 1.) To begin this exercise: start off with a weighted barbell rested upon your shoulders behind your neck. 2.) Bend at your knees and start to sit back with your hips as you go down for a standard squat, keeping your back and chest straight out. 3.) Continue on with the squat until your hamstrings and glutes are rested upon the box and hold on for a few seconds. 4.) Then using the force of your heels and lower legs, straighten out and extend your hips to get back to your starting position. 5.) Repeat this exercise for as many repetitions as needed
Barbell Bent-Over Row;Back;Traps;Biceps;Strength;Compound;Barbell;Beginner;Steps : 1.) To begin this exercise, stand in front of a barbell with your feet shoulder-width apart and bend over until your back is parallel with the floor. 2.) Grab the bar with a shoulder width grip then lift the bar up off of the ground and this will be your starting position. 3.) Take the bar and raise it up towards you chest using a controlled motion and continue until the bar is almost touching your lower chest. 4.) Hold this position for a few seconds, squeezing your back muscles and then lower the bar back to the starting position. Tips : 1.) While performing this exercise keep your head up and your back straight.
Barbell Bent-Over Row (Reverse Grip);Back;Traps;Biceps , Shoulders;Strength;Compound;Barbell;Intermediate;The Barbell Reverse Grip Bent Over Row is an excellent exercise for developing overall back strength. Steps : 1.) Begin by keeping your knees slightly bent and your back straight. 2.) Grab the barbell with a reverse (underhand) grip and pick up the barbell so it is at around shin level. 3.) While keeping yourself bent and balanced, slowly pull the barbell up to your abs, and keeping your elbows tucked in at your sides. 4.) Once you have reached the top of the exercise, hold for a count, squeezing your back and return back to the starting position. 5.) Repeat for as many reps and sets as desired. Tips : 1.) It is important to keep your back straight when you perform this exercise and if your back starts to round out, bend your knees slightly to keep it straight.
Barbell Bicep Curl (Prone);Biceps;null;Forearm;Strength;Isolation;Barbell;Intermediate;The barbell lying high bench biceps curl exercise has you lie face down to isolate your biceps and build bigger arms. Steps : 1.) Start by lying face down on a high bench with your head at one end and your toes pressed against the floor to support you. 2.) Grab a barbell with an underhand grip (palms facing up) about 12 inches apart. 3.) Extending your arms to the floor, curl your arms back towards your head in a slight arc, so your biceps touch your forearm. 4.) Slowly return to the starting position. 5.) Repeat for as many reps and sets as desired.
